id,name,uri_x,acousticness,danceability,duration_ms,energy,instrumentalness,key,liveness,loudness,mode,speechiness,tempo,time_signature,valence,playlist
6zsk6uF3MxfIeHPlubKBvR,Get Ur Freak On,spotify:track:6zsk6uF3MxfIeHPlubKBvR,0.533,0.797,211120,0.75,0.108,0,0.095,-9.369,1,0.247,177.87,4,0.74,party
2SLZ2rX5773RS16mcqBxG7,Peaches and Cream,spotify:track:2SLZ2rX5773RS16mcqBxG7,0.00277,0.677,193093,0.52,0.0,4,0.0532,-6.255,0,0.334,203.862,4,0.768,party
0ipLnUeK5PODrTKyT3wVGT,Shoop,spotify:track:0ipLnUeK5PODrTKyT3wVGT,0.0881,0.939,248573,0.68,0.0,0,0.0554,-7.29,1,0.219,96.916,4,0.81,party
6Ap8lYgDbcDOPr9TAXfcnm,You,spotify:track:6Ap8lYgDbcDOPr9TAXfcnm,0.102,0.412,273133,0.876,0.0,5,0.297,-6.008,0,0.47,130.159,5,0.703,party
2Nzm9dtlzWHrYtbAt53NV8,Where My Girls At,spotify:track:2Nzm9dtlzWHrYtbAt53NV8,0.0334,0.701,166693,0.73,0.0161,6,0.232,-7.45,1,0.0486,92.185,4,0.765,party
0WKYRFtH6KKbaNWjsxqm70,Gin And Juice (feat. Dat Nigga Daz),spotify:track:0WKYRFtH6KKbaNWjsxqm70,0.0285,0.549,211493,0.853,0.000296,7,0.618,-4.293,1,0.188,94.695,4,0.346,party
3Z6DV0jsGqCs4whsfda7lX,Sweet Love,spotify:track:3Z6DV0jsGqCs4whsfda7lX,0.229,0.453,261773,0.72,0.0,10,0.0886,-6.789,0,0.0252,86.988,4,0.586,party
2AGgputZd6NC15fPhZdhcN,Love King,spotify:track:2AGgputZd6NC15fPhZdhcN,0.026,0.628,251827,0.678,0.0,10,0.123,-4.417,1,0.0297,83.995,4,0.36,party
5IFCyWplye09HytIP80RCF,Too Close,spotify:track:5IFCyWplye09HytIP80RCF,0.0118,0.847,259440,0.402,0.0,7,0.283,-9.952,1,0.0641,99.693,4,0.752,party
2cxbxpHrND6i4uvUGVvC9J,Just a Friend 2002 - Radio Edit,spotify:track:2cxbxpHrND6i4uvUGVvC9J,0.00541,0.538,214200,0.677,0.0,0,0.236,-6.099,1,0.187,132.346,5,0.913,party
7eJ5kRpMNPAk7ccCDKywjH,Tell Me When to Go (feat. Keak da Sneak),spotify:track:7eJ5kRpMNPAk7ccCDKywjH,0.00642,0.857,237667,0.751,0.000257,1,0.104,-7.086,1,0.323,106.888,4,0.293,party
1oTHteQbmJw15rPxPVXUTv,Insane in the Brain,spotify:track:1oTHteQbmJw15rPxPVXUTv,0.0297,0.897,208267,0.612,0.186,11,0.0894,-10.489,1,0.211,102.305,4,0.767,party
3RBGG1be9aBaSvjnw6ABkh,Rockin' That Sh**,spotify:track:3RBGG1be9aBaSvjnw6ABkh,0.127,0.676,221920,0.634,0.0,8,0.371,-4.906,1,0.0445,77.961,4,0.623,party
5mNV8Mz59bzyuQ53gTw0c0,Where the Party At,spotify:track:5mNV8Mz59bzyuQ53gTw0c0,0.31,0.596,232573,0.661,0.0,5,0.0847,-6.239,0,0.226,129.491,5,0.86,party
69XUpOpjzDKcfdxqZebGiI,"Independent Women, Pt. 1",spotify:track:69XUpOpjzDKcfdxqZebGiI,0.362,0.73,221133,0.602,3.69e-06,6,0.169,-3.782,0,0.206,97.954,4,0.927,party
2JpUkUR0OsOlUUfm6iS8ic,Money Maker,spotify:track:2JpUkUR0OsOlUUfm6iS8ic,0.177,0.571,230613,0.613,0.0,1,0.216,-6.836,1,0.252,83.317,4,0.583,party
5Y78yINSOCW6xbOfGWNBg4,Wait (The Whisper Song),spotify:track:5Y78yINSOCW6xbOfGWNBg4,0.00112,0.933,179160,0.513,0.00248,7,0.107,-13.203,1,0.347,102.017,4,0.595,party
1yeLSqz8u8ip9NnzjGs7lQ,Ain't It Funny - Murder Remix,spotify:track:1yeLSqz8u8ip9NnzjGs7lQ,0.384,0.783,229800,0.758,0.0,10,0.0938,-2.663,0,0.151,89.434,4,0.78,party
2iclfHORMqpR3TxuhwVRhD,Mesmerize,spotify:track:2iclfHORMqpR3TxuhwVRhD,0.0554,0.762,278720,0.641,0.0,1,0.454,-6.784,1,0.209,90.089,4,0.368,party
5Tl0HJvynZtKdSUMKbFVVX,Hard Knock Life (Ghetto Anthem),spotify:track:5Tl0HJvynZtKdSUMKbFVVX,0.0814,0.883,238467,0.659,0.00119,10,0.0285,-6.017,0,0.294,77.03,4,0.557,party
